Wavelenght (m);Intensity (counts)
905.930;165.3000031
906.485;166.1000061
907.040;73
907.595;175.6000061
908.150;140.3000031
908.706;121.0999985
909.261;54.5
909.816;42.70000076
910.370;114.1999969
910.925;86.09999847
911.480;100.0999985
912.035;70.19999695
912.590;165.3000031
913.144;67.69999695
913.699;155.3999939
914.253;33.20000076
914.808;55.29999924
915.362;118.6999969
915.917;30
916.471;91.40000153
917.026;81.5
917.580;85.09999847
918.134;49.70000076
918.688;77.80000305
919.243;148.5
919.797;109.3000031
920.351;113.0999985
920.905;65.30000305
921.459;77.90000153
922.013;186.3999939
922.567;97
923.120;122.5
923.674;104.4000015
924.228;140.1000061
924.782;210.3999939
925.335;144
925.889;103.9000015
926.442;31.70000076
926.996;114.8000031
927.549;73.30000305
928.103;93.5
928.656;63.40000153
929.209;118.8000031
929.763;107.1999969
930.316;53.09999847
930.869;80.5
931.422;69.40000153
931.975;59
932.528;96.09999847
933.081;78.30000305
933.634;95.69999695
934.187;87.90000153
934.740;121.4000015
935.293;129.3999939
935.845;105.8000031
936.398;116.4000015
936.951;70.09999847
937.503;121.3000031
938.056;70.59999847
938.608;61.09999847
939.161;78
939.713;21.29999924
940.266;59
940.818;40.90000153
941.370;62
941.922;112.3000031
942.475;75.09999847
943.027;94.09999847
943.579;161.3999939
944.131;110.0999985
944.683;37.5
945.235;125
945.787;30.5
946.339;33.79999924
946.890;72.90000153
947.442;54.20000076
947.994;229.6999969
